,1,2,3,4,5,6,7,8,9
89,(-0.047245269188397394+0j),(-0.07642080474577508+0j),(-0.05024784906231231+0j),(0.016637091455469818+0j),(-0.0580689990633297+0j),(0.010928965023800304+0j),(0.011454325949667476+0j),(0.001889762442404938+0j),(-0.006461684776017599+0j)
90,(-0.02177953615337285+0j),(0.01828773430606052+0j),(0.022660598249410593+0j),(0.000729085829877962+0j),(0.007507016446428222+0j),(0.002472209203487317+0j),(-0.0005433221942211366+0j),(0.026586926794403224+0j),(-0.04410547595932598+0j)
91,(-0.05326107874266389+0j),(-0.08040519048866407+0j),(-0.0071040476069117245+0j),(0.02644655231658775+0j),(-0.03403070585050444+0j),(0.016343898564479816+0j),(0.0012312474170051305+0j),(0.07019934762941774+0j),(0.07023586559027298+0j)
92,(-0.04231406068972167+0j),(0.011257862946614787+0j),(0.04896102680874543+0j),(0.03231264868292801+0j),(-0.049496874955861386+0j),(-0.002110638014026361+0j),(0.002385330318527397+0j),(-0.033755133034412375+0j),(-0.0187329427360262+0j)
93,(-0.035404759738260565+0j),(-0.023030831355900165+0j),(0.007954363314292938+0j),(0.05571225031314257+0j),(0.028073517642002967+0j),(0.03453302047588261+0j),(-0.0009744264383123738+0j),(-0.05916297083587343+0j),(-0.023098447938246745+0j)
94,(-0.02689519873584736+0j),(0.008552566170776663+0j),(-0.054973321209750285+0j),(0.0023651643354531617+0j),(0.03402788586573872+0j),(-0.00673945513091012+0j),(0.04019698022560701+0j),(-0.02881444718859141+0j),(-0.05085447223986898+0j)
95,(-0.021596078326956678+0j),(-0.03769106843110352+0j),(-0.06540068250023795+0j),(-0.027422191579132633+0j),(0.008144729564614041+0j),(-0.010342448130906602+0j),(-0.010804677966209961+0j),(0.1229109432106805+0j),(-0.04795074937440548+0j)
96,(0.009977556135053934+0j),(-0.006335890576276447+0j),(0.01999292798505528+0j),(0.03473536020227361+0j),(0.008858345618963455+0j),(-0.015902530398857244+0j),(0.00270521522132538+0j),(-0.014917949988660514+0j),(0.024319112613789544+0j)
97,(0.02855933634670589+0j),(-0.019025502611090837+0j),(0.001986770536514438+0j),(-0.013576272437973004+0j),(-0.0027856796165976485+0j),(-0.11097334068640116+0j),(-0.0038291194906786255+0j),(0.03372916778224992+0j),(0.019387272860485912+0j)
98,(-0.005098620404438035+0j),(-0.023277520155305983+0j),(-0.01897895254344916+0j),(0.015121562557121892+0j),(-0.034743880931797304+0j),(0.002564241449035738+0j),(0.01163385773033269+0j),(-0.018656644941592176+0j),(-0.0050979198566671316+0j)
99,(-0.051293770355429445+0j),(-0.057687046809257576+0j),(-0.008512450517663075+0j),(0.0051166115651790686+0j),(-0.032873206753720005+0j),(0.004111187029424906+0j),(-0.005184883648947057+0j),(0.03128422868095078+0j),(0.08013391428327164+0j)
